name,reviews,rating,fulladdr,latitude,longitude,categories
IPIROS GREEK FAST FOOD,456,4.3,Piazza della Vittoria. 8/D. 27100 Pavia PV,45.1861815,9.1545192,Greek restaurant.Fast food restaurant.Gyro restaurant Magna
Palinuro,475,4,Via Teodolinda. 38. 27100 Pavia PV,45.1847095,9.1507389,Pizza restaurant.Italian restaurant.Seafood restaurant Magna
DedasPuri Ristorante Georgiano & Wine Shop - Pavia,492,4.7,Via Pusterla. 26. 27100 Pavia PV,45.1859488,9.1497526,Georgian restaurant.Wine bar Magna
Rosengarten Hotel,500,3.8,Via Cesare. Via Lombroso. 19a. 27100 Pavia PV,45.1953041,9.1485612,Restaurant.Bar.Small plates restaurant Magna
I Fiulot Locanda Etica,504,4.5,Via Indipendenza. 27. 27100 Pavia PV,45.1947394,9.1521086,Italian restaurant.Beer hall.Inn.Pizza restaurant.Pizza takeaway.Toy library.Volunteer organization.Wine bar Magna
Lino Restaurant,506,4.6,Piazza del Lino. 15. 27100 Pavia PV,45.1849148,9.1560084,Fine dining restaurant.Bar.Bistro.Italian restaurant Magna
Pane Salame Restaurant,507,3.7,Corso Carlo Alberto. 72. 27100 Pavia PV,45.187472,9.1585235,Restaurant.Bar.Sandwich shop.Small plates restaurant Magna
U Segret e Pulicinella,509,4.4,Via Capri. 3. 27100 Pavia PV,45.1945063,9.1771006,Pizza restaurant Magna
Agriturismo Cascina Marzana,529,3.8,Cascina Marzana. 27100 Pavia PV,45.1919082,9.2088255,Restaurant.Farmstay Magna
Pozzo American Bar dal 1983,536,4.2,S.da Nuova. 4c. 27100 Pavia PV,45.1821269,9.1535564,Cocktail bar.Bar.Lounge.Small plates restaurant Magna
Biblos Caffè,557,4.2,Via Volturno. 35. 27100 Pavia PV,45.183741,9.1554671,Lebanese restaurant.Mediterranean restaurant Magna
La Posta,558,4.3,Corso Giuseppe Garibaldi. 24d. 27100 Pavia PV,45.1823958,9.1588126,Restaurant.Italian restaurant Magna
L'Ustaria di Giugaton,582,4.4,Via Battella. 65. 27020 Travacò Siccomario PV,45.1708371,9.1636171,Restaurant.Italian restaurant Magna
250 Grammi,585,4.3,Via Mascheroni. 22. 27100 Pavia PV,45.1864782,9.1538537,Pizza restaurant Magna
Italmark,602,4.2,Via Vigentina. 19. 27100 Pavia PV,45.1998049,9.1702207,Supermarket.Bakery.Butcher shop.Coffee shop.Cold cut store.Deli.Fish store.Pizza takeaway Magna
Imbarcadero,606,4.1,Lungo Ticino Sforza. 3. 27100 Pavia PV,45.1804462,9.1568298,Restaurant.Bar Magna
RISTORANTE I 2 SAPORI,620,4.2,Via Pasquale Massacra. 2. 27100 Pavia PV,45.1814463,9.1626589,Fish restaurant.Italian restaurant Magna
Osteria del Naviglio,624,4.3,Via Alzaia. 39/B. 27100 Pavia PV,45.1972204,9.158281,Restaurant Magna
Jumbo Smash Burger,629,4.2,Via Lanfranco. 12. 27100 Pavia PV,45.1893623,9.151095,Restaurant.Beer hall.Beer store.Pub.Steak house Magna
La Casa sul Fiume,635,3.8,Via S. Lanfranco Beccari. 52. 27100 Pavia PV,45.193915,9.1244284,Italian restaurant.Pizza restaurant.Seafood restaurant Magna
Vicoletto,656,4.2,Via Stefano Breventano. 10. 27100 Pavia PV,45.1921196,9.1635656,Pizza restaurant.Italian restaurant.Restaurant.Seafood restaurant Magna
Civico Uno Food&Pizza,658,4.3,Via Domenico da Catalogna. 1. 27100 Pavia PV,45.1867316,9.159303,Restaurant.Pizza restaurant Magna
Ristorante pizzeria La Pergola,667,4.3,Via Lorenzo Fasolo. 14. 27100 Pavia PV,45.1929283,9.1723156,Pizza restaurant.Seafood restaurant Magna
Ristorante Pizzeria Vesuvio,692,4.2,Via Alessandro Brambilla. 8/10. 27100 Pavia PV,45.1977935,9.1509371,Pizza restaurant.Italian restaurant.Seafood restaurant Magna
Pizzeria Ristorante Grotta dello Smeraldo,693,4.1,Via Umberto Olevano. 126. 27100 Pavia PV,45.2026477,9.1601145,Pizza restaurant.Restaurant Magna
Il Broletto,731,4.3,Piazza della Vittoria. 14. 27100 Pavia PV,45.184789,9.1541669,Irish pub.Bar Magna
Ristorante Pizzeria Peccati di Gola,738,3.8,Viale Brambilla. 63. 27100 Pavia PV,45.2054395,9.1493373,Restaurant.Pizza restaurant Magna
Botticella,741,4.3,Piazza del Carmine. 8. 27100 Pavia PV,45.1871435,9.1524503,Pizza restaurant Magna
Alvolo Cibi da Strada,746,4.7,Via Fratelli Marozzi. 5-7. 27100 Pavia PV,45.1864584,9.1515365,Sandwich shop Magna
A'Vucciria,746,3.9,Corso Camillo Benso Cavour. 37. 27100 Pavia PV,45.1866381,9.1495883,Restaurant.Fast food restaurant.Deli Magna
Ristorante Pizzeria Al Castello,765,4.1,Viale Gorizia. 54. 27100 Pavia PV,45.1891823,9.1622028,Pizza restaurant.Meal delivery.Pizza delivery.Pizza takeaway.Restaurant Magna
Sangria Tapas y Alegria,770,4.1,Corso Giuseppe Garibaldi. 34. 27100 Pavia PV,45.1820413,9.1602246,Spanish restaurant.Mediterranean restaurant Magna
Lo Scoglio Pizzeria Ristorante,771,4.1,Viale Bligny. 23. 27100 Pavia PV,45.1920521,9.1589683,Restaurant.Pizza restaurant Magna
Gnocco Fritto Pavia,775,4.4,Viale Cremona. 104. 27100 Pavia PV,45.1794708,9.1901601,Restaurant Magna
Valhalla Pub All You Can PLAY,786,4.5,Lungo Ticino Sforza. 2. 27100 Pavia PV,45.1812745,9.155047,Gastropub.Bar.Beer hall.Hamburger restaurant.Irish pub.Restaurant.Toy library.Vegetarian restaurant Magna
Joe,788,4.4,Via Camillo Campari. 23. 27100 Pavia PV,45.1888955,9.1665593,Pub.Beer hall.Cocktail bar.Hamburger restaurant.Sandwich shop Magna
Il Piccolo Arcobaleno,796,4.1,Via Valla. 2. 27100 Pavia PV,45.1879653,9.1537149,Restaurant.Pizza restaurant Magna
Nuova Panarea,799,4.3,Viale Camillo Golgi. 22. 27100 Pavia PV,45.1955098,9.1466239,Restaurant Magna
Trattoria Pizzeria Vecchia Pavia,828,4.2,Via Antonio Mantovani. 3. 27100 Pavia PV,45.18338,9.15716,Diner.Pizza restaurant.Restaurant Magna
Miccone,832,4.4,Via dei Mille. 36. 27100 Pavia PV,45.1789258,9.1516711,Sandwich shop.Brunch restaurant.Cafeteria.Coffee store.Hamburger restaurant.Northern Italian restaurant.Wi-Fi spot Magna
Antica Osteria del Previ,840,4.2,Via Milazzo. 65. 27100 Pavia PV,45.1791672,9.1566257,Restaurant.Italian restaurant.Wine bar Magna
La Torre degli Aquila,848,4.5,S.da Nuova. 20/A. 27100 Pavia PV,45.182712,9.1539612,Restaurant Magna
TAVERNA SANTORINI,874,4.2,Via del Carmine. 4. 27100 Pavia PV,45.1863039,9.1521654,Greek restaurant.Mediterranean restaurant Magna
Royal Garden,885,4.5,Via Ardengo Folperti. 71. 27100 Pavia PV,45.1935574,9.1665484,Chinese restaurant.Chinese takeaway Magna
La Korte dei Sapori Persi,886,4.4,Piazza Borgo Calvenzano. 1. 27100 Pavia PV,45.1922488,9.1575766,Restaurant.Bar.Italian restaurant.Seafood restaurant Magna
Angolo di Casa,896,4.3,Piazza XXIV Maggio. 1. 27100 Pavia PV,45.1841667,9.15,Italian restaurant Magna
Hostaria il Cupolone,913,3.9,Via Cardinale Riboldi. 2. 27100 Pavia PV,45.1841557,9.1535113,Italian restaurant.Restaurant Magna
miscusi Pavia,915,4.3,Piazza del Duomo. 14. 27100 Pavia PV,45.1845601,9.1523309,Restaurant.Italian restaurant Magna
Regisole Hostaria,984,4.2,Piazza del Duomo. 4. 27100 Pavia PV,45.1851387,9.1526461,Pizza restaurant.Italian restaurant.Seafood restaurant Magna
Osteria della Malora,1018,4.5,Via Milazzo. 79. 27100 Pavia PV,45.1789072,9.1570056,Restaurant.Italian restaurant Magna
Diablo Steak House,1069,4.2,Piazzale Ponte Ticino. 6. 27100 Pavia PV,45.1816887,9.1543077,Steak house.American restaurant.Hamburger restaurant.Mexican restaurant Magna
Loft10,1078,3.7,Piazza Cavagneria. 10. 27100 Pavia PV,45.1841003,9.1538902,Small plates restaurant.Bar.Book store.Cocktail bar Magna
Osteria della Madonna da Peo,1107,4.6,Via dei Liguri. 28. 27100 Pavia PV,45.1836982,9.1523422,Restaurant.Italian restaurant Magna
La Birreria Italiana,1143,3.9,Viale Montegrappa. 28. 27100 Pavia PV,45.1815664,9.1799214,Beer hall.Gastropub.Restaurant Magna
al VITA Restaurant & Cafè,1149,4.3,Corso Giuseppe Mazzini. 10. 27100 Pavia PV,45.1852657,9.156138,Restaurant.Bar Magna
Asahi,1192,4.1,Corso Giuseppe Garibaldi. 51. 27100 Pavia PV,45.1817785,9.1608707,Japanese restaurant.Chinese restaurant.Restaurant.Seafood restaurant.Sushi restaurant Magna
Rossopomodoro,1196,4.3,Via Milazzo. 97. 27100 Pavia PV,45.1786362,9.1581017,Pizza restaurant.Italian restaurant.Restaurant Magna
La Nuova Mergellina,1221,4.2,Via Giacomo Parodi. 25. 27100 Pavia PV,45.1855378,9.1518877,Italian restaurant.Pizza restaurant.Seafood restaurant Magna
Ristorante Pizzeria Amalfitana,1311,4.2,Via Digione. 2. 27100 Pavia PV,45.1888313,9.1615467,Pizza restaurant.Restaurant Magna
Antica Trattoria Ferrari,1314,4.2,Via dei Mille. 111. 27100 Pavia PV,45.1772901,9.1500513,Italian restaurant Magna
Ristorante Pizzeria Marechiaro,1353,4.2,Piazza della Vittoria. 9. 27100 Pavia PV,45.186096,9.154437,Pizza restaurant.Italian restaurant.Restaurant Magna
Verde Salvia,1373,4.2,Via S. Michele. 4. 27100 Pavia PV,45.1826439,9.1563969,Pizza restaurant.Italian restaurant Magna
Osteria dal Povero Lele,1391,4.4,Via dei Mille. 146. 27100 Pavia PV,45.1749322,9.1489195,Restaurant Magna
Bar del Turista,1437,4,Piazzale Tevere. 2. 27100 Pavia PV,45.1947751,9.1244928,Pub.Espresso bar.Sandwich shop Magna
Il Falco 332,1491,4.1,Viale Cremona. 332. 27100 Pavia PV,45.177586,9.2070919,Restaurant.Italian restaurant.Pizza restaurant.Seafood restaurant Magna
BEFED Brew Pub San Genesio ed Uniti,1539,4.1,Via dell' Industria. 75. 27010 San Genesio ed Uniti PV,45.2350314,9.1877458,Restaurant.Chicken wings restaurant Magna
Pizzeria Ristorante Bella Napoli,1578,3.8,Piazza della Vittoria. 10. 27100 Pavia PV,45.1859599,9.1543767,Pizza restaurant.Restaurant Magna
